type,bandwidth,time
run,148.288,695664941522666
run,162.5,695664958548406
run,162.73,695664974092431
run,161.933,695664989612006
run,138.253,695665005201983
run,132.931,695665023470781
run,140.761,695665042470437
run,164.702,695665060401054
run,164.146,695665075730676
run,163.499,695665091110281
run,145.235,695665106551104
run,140.585,695665123947122
run,154.353,695665141898860
run,132.111,695665158251087
run,144.322,695665177386233
run,157.012,695665194891660
run,71.3148,695665210969772
run,39.1094,695665246346840
run,41.2179,695665310795576
run,64.1015,695665371940650
run,68.3109,695665411289549
run,115.215,695665448209806
run,47.8662,695665470124927
run,41.7392,695665522771067
run,43.121,695665583157091
run,66.5333,695665641593327
run,81.8537,695665679520862
run,108.616,695665710345707
run,141.174,695665733569550
run,159.274,695665751451014
run,143.051,695665767303235
run,132.95,695665784958584
run,132.056,695665803946208
run,162.965,695665823058058
run,160.532,695665838557953
run,163.037,695665854312348
run,163.549,695665869807604
run,162.884,695665885245803
run,165.284,695665900749954
run,151.296,695665916040599
run,138.386,695665932721471
run,163.085,695665950978204
run,161.685,695665966461780
run,160.524,695665982075821
run,156.884,695665997801351
run,159.033,695666013889639
run,138.239,695666029758980
run,128.349,695666048038082
run,136.372,695666067710163
run,162.784,695666086216149
run,161.46,695666101725740
run,162.7,695666117362438
run,143.678,695666132878653
run,143.753,695666150439858
run,147.063,695666167994246
run,140.507,695666185152372
run,150.313,695666203109646
run,163.914,695666219901015
run,163.004,695666235303245
run,61.0318,695666250792933
run,55.0823,695666292108419
run,49.2676,695666337873343
run,77.0197,695666389041479
run,51.1135,695666421807118
run,84.9234,695666471121948
run,84.0347,695666500835929
run,72.4247,695666530845178
run,38.8957,695666565685311
run,40.6135,695666630457475
run,56.3812,695666692513794
run,63.1883,695666737250512
run,121.663,695666777153659
run,142.579,695666797916379
run,138.426,695666815615794
run,161.25,695666833844079
run,160.142,695666849500457
run,159.85,695666865266276
run,158.056,695666881059231
run,134.282,695666897021853
run,159.116,695666915809091
run,137.63,695666931671167
run,151.666,695666950001214
run,161.169,695666966639333
run,159.576,695666982300639
run,163.439,695666998114843
run,164.484,695667013558962
run,164.865,695667028901063
run,132.162,695667044205724
run,134.243,695667063314181
run,146.619,695667082108267
run,160.784,695667099318650
run,162.728,695667115014132
run,163.301,695667130524140
run,161.677,695667145980643
run,125.093,695667161607868
run,129.438,695667181775284
run,138.818,695667201258915
run,138.485,695667219453280
run,162.819,695667237680798
run,163.557,695667253193013
run,165.301,695667268633708
run,164.651,695667283905248
run,82.4983,695667299236117
run,30.6139,695667329826271
run,60.616,695667412118871
run,60.0869,695667453740441
run,62.3265,695667495711329
run,107.39,695667536186708
run,77.8408,695667559698203
run,26.1783,695667592110269
run,43.5665,695667688348951
run,83.2951,695667746203932
run,110.26,695667776511201
run,116.536,695667799408223
run,154.655,695667821085165
run,145.237,695667837417840
run,147.399,695667854797761
run,163.922,695667871920463
run,162.967,695667887323621
run,163.185,695667902818045
run,163.651,695667918289172
run,164.108,695667933713002
run,163.625,695667949095328
run,140.907,695667964521847
run,152.806,695667982431536
run,160.985,695667998948149
run,143.916,695668014641456
run,154.266,695668032173443
run,164.849,695668048531687
run,163.706,695668063840060
run,120.921,695668079256402
run,139.51,695668100116756
run,150.235,695668118203151
run,162.562,695668135004057
run,162.036,695668150529809
run,159.837,695668166105769
run,144.891,695668181900133
run,139.943,695668199315159
run,141.327,695668217347314
run,129.509,695668235201450
run,150.476,695668254677113
run,161.716,695668271449602
run,134.537,695668287054363
run,151.027,695668305808128
run,67.0909,695668322521128
run,61.3535,695668360102770
run,77.8911,695668401206222
run,78.2423,695668433576880
run,76.7192,695668465803920
run,75.7301,695668498665081
run,75.8873,695668531959048
run,56.2056,695668565190838
run,122.741,695668610035493
run,120.442,695668630603107
run,162.947,695668651571943
run,163.136,695668667071518
run,162.207,695668682544725
run,160.531,695668698106414
run,149.538,695668713830280
run,158.058,695668781029647
run,161.939,695668797028205
run,161.773,695668812625574
run,164.828,695668828234623
run,141.873,695668843553044
run,132.602,695668861339051
run,145.795,695668880363284
run,162.884,695668897670116
run,163.597,695668913169116
run,82.0115,695668928600178
run,29.7679,695668959385182
run,42.1176,695669044040343
run,57.7859,695669103900023
run,100.16,695669147549334
run,151.548,695669172742676
run,159.255,695669189406044
run,146.357,695669205287257
run,139.541,695669222538057
run,142.796,695669240648965
run,125.483,695669258338298
run,147.839,695669278440850
run,161.35,695669295517119
run,163.222,695669311166201
run,158.237,695669326634448
run,161.16,695669342609070
run,163.169,695669358273384
run,95.5109,695669373745535
run,31.3245,695669400193551
run,39.9943,695669480636941
run,58.2754,695669543663417
run,87.2801,695669586942803
run,59.5656,695669615870597
run,60.2316,695669658178641
run,51.8115,695669700049143
run,73.4805,695669748693724
run,66.635,695669783007129
run,57.8389,695669820846919
run,90.5541,695669864428005
run,103.663,695669892306184
run,153.07,695669916654139
run,162.13,695669933152640
run,164.508,695669948729689
run,159.74,695669964078222
run,139.483,695669979877962
run,146.509,695669997986117
run,133.813,695670015214997
run,159.777,695670034092987
run,148.033,695670049892503
run,161.059,695670066966404
run,162.455,695670082667519
run,162.739,695670098215831
run,162.597,695670113750287
run,141.243,695670129280263
run,149.837,695670147163871
run,143.769,695670164052970
run,54.2142,695670181607646
run,39.8798,695670228112933
run,37.3128,695670291294195
run,61.4384,695670358810430
run,85.2434,695670399870521
run,120.532,695670429503957
run,157.656,695670450452344
run,162.608,695670466477079
run,163.298,695670482006767
run,163.674,695670497469222
run,147.635,695670512890492
run,139.278,695670529977769
run,144.614,695670548092485
run,148.51,695670565544280
run,162.721,695670582542020
run,161.473,695670598057276
run,161.628,695670613690453
run,161.144,695670629309102
run,144.501,695670644974408
run,139.858,695670662528572
run,158.718,695670680594327
run,36.6437,695670696506965
run,58.8474,695670765267313
run,55.6039,695670808109636
run,59.0237,695670853458651
run,59.7862,695670896195341
run,129.079,695670938380535
run,152.765,695670957945959
run,158.747,695670974476013
run,162.558,695670990382058
run,161.502,695671005913730
run,148.115,695671021541691
run,137.991,695671038578376
run,162.414,695671056865863
run,163.815,695671072407583
run,150.996,695671087814677
run,141.234,695671104525501
run,162.3,695671122383861
run,160.104,695671137936878
run,134.277,695671153698089
run,154.419,695671172485294
run,163.621,695671188829521
run,40.7571,695671204252776
run,36.5618,695671266094307
run,42.9761,695671335003169
run,60.0813,695671393644049
run,98.1353,695671435588440
run,150.118,695671461300381
run,160.241,695671478136295
run,160.859,695671493893890
run,163.26,695671509585980
run,148.753,695671525048435
run,135.217,695671542012415
run,164.57,695671560696931
run,165.114,695671576059993
run,163.222,695671591352461
run,163.1,695671606817956
run,163.146,695671622295931
run,150.277,695671637766482
run,125.845,695671654576284
run,151.061,695671674654099
run,162.958,695671691369020
run,70.0477,695671706861011
run,54.2984,695671742885800
run,54.441,695671790093048
run,77.5344,695671836403612
run,53.4572,695671868958849
run,52.5015,695671916123184
run,118.816,695671964136268
run,149.373,695671985385651
run,162.514,695672002287230
run,162.07,695672017823478
run,164.613,695672033400783
run,146.066,695672048739716
run,144.635,695672066016052
run,162.957,695672083467367
run,161.693,695672098963550
run,161.507,695672114599640
run,161.24,695672130253873
run,159.191,695672145934123
run,159.643,695672161813320
run,140.394,695672177641700
run,149.579,695672195620510
run,145.207,695672212496809
run,140.93,695672229885754
run,62.4285,695672247810195
run,29.8595,695672288226981
run,51.5259,695672372596474
run,79.4679,695672421508002
run,82.9416,695672453257852
run,100.327,695672483667586
run,142.361,695672508814400
run,157.693,695672526545111
run,161.12,695672542553333
run,162.797,695672558215823
run,144.531,695672573720742
run,144.359,695672591176729
run,162.972,695672608674092
run,163.76,695672624164740
run,163.909,695672639579514
run,163.597,695672654979792
run,163.427,695672670406791
run,152.991,695672685851965
run,136.735,695672702340962
run,149.172,695672720809347
run,160.663,695672737725134
run,78.727,695672753434281
run,26.9438,695672785484934
run,54.7725,695672878983098
run,48.8159,695672925027386
run,122.042,695672976643048
run,122.706,695672997341192
run,150.428,695673017911846
run,159.275,695673034690799
run,140.053,695673050535243
run,139.213,695673068547430
run,132.989,695673086687138
run,160.97,695673105678410
run,163.867,695673121364356
run,165,695673136769690
run,164.428,695673152066927
run,162.291,695673167411140
run,163.34,695673182958844
run,144.28,695673198408083
run,148.26,695673215912230
run,165.249,695673232933843
run,160.206,695673248206055
run,135.291,695673263955010
run,160.193,695673282599205
run,163.159,695673298353184
run,147.29,695673313819543
run,130.66,695673330948005
run,109.56,695673350252082
run,131.095,695673373279410
run,164.518,695673392541086
run,165.001,695673407888275
run,163.685,695673423186536
run,163.873,695673438606846
run,145.365,695673454006260
run,137.708,695673471359941
run,163.755,695673489676772
run,58.9683,695673505086554
run,46.0825,695673547830061
run,57.0836,695673602513253
run,60.1447,695673646667051
run,53.1738,695673688577553
run,157.892,695673783406360
run,161.438,695673799420790
run,162.226,695673815063472
run,162.367,695673830627560
run,140.503,695673846170336
run,150.589,695673864125626
run,151.928,695673880917251
run,138.15,695673897525834
run,163.365,695673915786216
